rebalance_strategy,slab_count,request_id,value,key,class_id
marginal-hits,64,2850000,113,tail_hits,0
marginal-hits,64,2850000,10,num_slabs,4
marginal-hits,64,2850000,16,num_slabs,3
marginal-hits,64,2850000,12,num_slabs,2
marginal-hits,64,2850000,13,num_slabs,1
marginal-hits,64,2850000,13,num_slabs,0
marginal-hits,64,2900000,107,tail_hits,4
marginal-hits,64,2900000,95,tail_hits,3
marginal-hits,64,2900000,87,tail_hits,2
marginal-hits,64,2900000,101,tail_hits,1
marginal-hits,64,2900000,121,tail_hits,0
marginal-hits,64,2900000,10,num_slabs,4
marginal-hits,64,2900000,17,num_slabs,3
marginal-hits,64,2900000,11,num_slabs,2
marginal-hits,64,2900000,13,num_slabs,1
marginal-hits,64,2900000,13,num_slabs,0
marginal-hits,64,2950000,116,tail_hits,4
marginal-hits,64,2950000,94,tail_hits,3
marginal-hits,64,2950000,123,tail_hits,2
marginal-hits,64,2950000,114,tail_hits,1
marginal-hits,64,2950000,112,tail_hits,0
marginal-hits,64,2950000,10,num_slabs,4
marginal-hits,64,2950000,17,num_slabs,3
marginal-hits,64,2950000,10,num_slabs,2
marginal-hits,64,2950000,13,num_slabs,1
marginal-hits,64,2950000,14,num_slabs,0
marginal-hits,64,3000000,99,tail_hits,4
marginal-hits,64,3000000,108,tail_hits,3
marginal-hits,64,3000000,119,tail_hits,2
marginal-hits,64,3000000,95,tail_hits,1
marginal-hits,64,3000000,98,tail_hits,0
marginal-hits,64,3000000,10,num_slabs,4
marginal-hits,64,3000000,16,num_slabs,3
marginal-hits,64,3000000,11,num_slabs,2
marginal-hits,64,3000000,13,num_slabs,1
marginal-hits,64,3000000,14,num_slabs,0
marginal-hits,64,3050000,103,tail_hits,4
marginal-hits,64,3050000,102,tail_hits,3
marginal-hits,64,3050000,98,tail_hits,2
marginal-hits,64,3050000,121,tail_hits,1
marginal-hits,64,3050000,109,tail_hits,0
marginal-hits,64,3050000,10,num_slabs,4
marginal-hits,64,3050000,16,num_slabs,3
marginal-hits,64,3050000,12,num_slabs,2
marginal-hits,64,3050000,12,num_slabs,1
marginal-hits,64,3050000,14,num_slabs,0
marginal-hits,64,3100000,111,tail_hits,4
marginal-hits,64,3100000,108,tail_hits,3
