total_slabs,miss_ratio_disabled,miss_ratio_optimal,slab_distribution_disabled,slab_distribution_optimal,distance_to_optimal
46,0.6418498,0.60068625,"[9, 37]","[46, 0]",37
323,0.38748745,0.3861166,"[48, 275]","[62, 261]",275
469,0.28409605,0.28401075,"[71, 398]","[67, 402]",402
120,0.55889105,0.5400699,"[19, 101]","[56, 64]",101
366,0.3557279,0.3552963,"[55, 311]","[64, 302]",311
351,0.36675595,0.36595665,"[52, 299]","[64, 287]",299
142,0.5365551,0.5226863,"[23, 119]","[57, 85]",119
275,0.4243438,0.42121305,"[41, 234]","[61, 214]",234
296,0.4080512,0.40577245,"[44, 252]","[61, 235]",252
434,0.3078524,0.3078512,"[65, 369]","[66, 368]",369
301,0.4041465,0.4021182,"[45, 256]","[61, 240]",256
72,0.6084461,0.57872965,"[13, 59]","[56, 16]",59
384,0.3428223,0.3425499,"[57, 327]","[65, 319]",327
505,0.26042445,0.26004625,"[77, 428]","[69, 436]",436
237,0.45447605,0.4495619,"[36, 201]","[60, 177]",201
194,0.49037615,0.4822385,"[30, 164]","[58, 136]",164
498,0.2649949,0.2646602,"[76, 422]","[68, 430]",430
181,0.50173895,0.4922891,"[28, 153]","[57, 124]",153
129,0.54905325,0.53292895,"[21, 108]","[56, 73]",108
460,0.29013635,0.2900982,"[69, 391]","[66, 394]",394
250,0.44389875,0.43979055,"[38, 212]","[60, 190]",212
340,0.37473615,0.37383425,"[51, 289]","[62, 278]",289
265,0.4320387,0.4286066,"[40, 225]","[60, 205]",225
47,0.6410439,0.59971645,"[9, 38]","[47, 0]",38
341,0.3740262,0.3731165,"[51, 290]","[63, 278]",290
139,0.540032,0.5250349,"[22, 117]","[57, 82]",117
488,0.27149825,0.2712994,"[74, 414]","[67, 421]",421
154,0.52616245,0.51328225,"[24, 130]","[57, 97]",130
332,0.3806353,0.37961465,"[50, 282]","[62, 270]",282
49,0.63944,0.5978514,"[9, 40]","[49, 0]",40
475,0.28010495,0.27997485,"[72, 403]","[67, 408]",408
339,0.3754541,0.3745573,"[51, 288]","[62, 277]",288
490,0.2702373,0.2699666,"[75, 415]","[67, 423]",423
16,0.6963135,0.6472364,"[4, 12]","[16, 0]",12
239,0.4529986,0.4480531,"[36, 203]","[60, 179]",203
486,0.27283705,0.2726246,"[74, 412]","[68, 418]",418
189,0.4948822,0.48609805,"[29, 160]","[59, 130]",160
325,0.38605275,0.38466465,"[48, 277]","[62, 263]",277
389,0.33925145,0.33902830000000006,"[58, 331]","[65, 324]",331
303,0.40268805,0.40066725,"[45, 258]","[61, 242]",258
278,0.4218015,0.41900075,"[42, 236]","[61, 217]",236
397,0.33361435,0.3334327,"[59, 338]","[65, 332]",338
174,0.5079306,0.49769815,"[27, 147]","[59, 115]",147
195,0.48962175,0.48146755,"[30, 165]","[59, 136]",165
161,0.5197207,0.50780715,"[25, 136]","[57, 104]",136
76,0.60524435,0.5754821,"[13, 63]","[55, 21]",63
209,0.47770595,0.4707436,"[32, 177]","[60, 149]",177
