rebalance_strategy,slab_count,request_id,distance_to_optimal_allocation
marginal-hits,64,13750000,3
marginal-hits,64,13800000,3
marginal-hits,64,13850000,4
marginal-hits,64,13900000,4
marginal-hits,64,13950000,5
marginal-hits,64,14000000,5
marginal-hits,64,14050000,4
marginal-hits,64,14100000,4
marginal-hits,64,14150000,5
marginal-hits,64,14200000,6
marginal-hits,64,14250000,6
marginal-hits,64,14300000,7
marginal-hits,64,14350000,7
marginal-hits,64,14400000,7
marginal-hits,64,14450000,7
marginal-hits,64,14500000,6
marginal-hits,64,14550000,6
marginal-hits,64,14600000,6
marginal-hits,64,14650000,6
marginal-hits,64,14700000,6
marginal-hits,64,14750000,5
marginal-hits,64,14800000,6
marginal-hits,64,14850000,7
marginal-hits,64,14900000,6
marginal-hits,64,14950000,6
marginal-hits,64,15000000,5
marginal-hits,64,15050000,5
marginal-hits,64,15100000,6
marginal-hits,64,15150000,5
marginal-hits,64,15200000,4
marginal-hits,64,15250000,3
marginal-hits,64,15300000,3
marginal-hits,64,15350000,3
marginal-hits,64,15400000,3
marginal-hits,64,15450000,4
marginal-hits,64,15500000,4
marginal-hits,64,15550000,5
marginal-hits,64,15600000,6
marginal-hits,64,15650000,5
marginal-hits,64,15700000,4
marginal-hits,64,15750000,4
marginal-hits,64,15800000,4
marginal-hits,64,15850000,5
marginal-hits,64,15900000,5
marginal-hits,64,15950000,5
marginal-hits,64,16000000,5
marginal-hits,64,16050000,4
marginal-hits,64,16100000,5
marginal-hits,64,16150000,4
marginal-hits,64,16200000,5
marginal-hits,64,16250000,6
marginal-hits,64,16300000,5
marginal-hits,64,16350000,5
marginal-hits,64,16400000,6
marginal-hits,64,16450000,6
marginal-hits,64,16500000,5
marginal-hits,64,16550000,5
marginal-hits,64,16600000,5
marginal-hits,64,16650000,6
marginal-hits,64,16700000,6
marginal-hits,64,16750000,6
marginal-hits,64,16800000,7
marginal-hits,64,16850000,8
marginal-hits,64,16900000,8
marginal-hits,64,16950000,7
marginal-hits,64,17000000,6
marginal-hits,64,17050000,5
marginal-hits,64,17100000,6
marginal-hits,64,17150000,6
marginal-hits,64,17200000,5
marginal-hits,64,17250000,4
marginal-hits,64,17300000,4
marginal-hits,64,17350000,4
marginal-hits,64,17400000,4
marginal-hits,64,17450000,4
marginal-hits,64,17500000,5
marginal-hits,64,17550000,4
marginal-hits,64,17600000,5
marginal-hits,64,17650000,4
marginal-hits,64,17700000,4
marginal-hits,64,17750000,4
marginal-hits,64,17800000,4
marginal-hits,64,17850000,3
marginal-hits,64,17900000,3
marginal-hits,64,17950000,4
marginal-hits,64,18000000,4
marginal-hits,64,18050000,5
marginal-hits,64,18100000,4
marginal-hits,64,18150000,4
marginal-hits,64,18200000,4
marginal-hits,64,18250000,4
marginal-hits,64,18300000,5
marginal-hits,64,18350000,4
marginal-hits,64,18400000,3
marginal-hits,64,18450000,3
marginal-hits,64,18500000,3
marginal-hits,64,18550000,2
marginal-hits,64,18600000,2
marginal-hits,64,18650000,2
marginal-hits,64,18700000,2
marginal-hits,64,18750000,3
marginal-hits,64,18800000,3
marginal-hits,64,18850000,3
marginal-hits,64,18900000,3
marginal-hits,64,18950000,4
marginal-hits,64,19000000,3
marginal-hits,64,19050000,3
marginal-hits,64,19100000,4
marginal-hits,64,19150000,4
marginal-hits,64,19200000,4
marginal-hits,64,19250000,4
marginal-hits,64,19300000,4
marginal-hits,64,19350000,3
marginal-hits,64,19400000,2
marginal-hits,64,19450000,2
marginal-hits,64,19500000,2
marginal-hits,64,19550000,3
marginal-hits,64,19600000,2
marginal-hits,64,19650000,2
marginal-hits,64,19700000,2
marginal-hits,64,19750000,3
marginal-hits,64,19800000,3
marginal-hits,64,19850000,4
marginal-hits,64,19900000,4
marginal-hits,64,19950000,5
marginal-hits,64,20000000,5
marginal-hits,64,20050000,4
marginal-hits,64,20100000,4
marginal-hits,64,20150000,5
marginal-hits,64,20200000,5
marginal-hits,64,20250000,5
marginal-hits,64,20300000,5
marginal-hits,64,20350000,4
marginal-hits,64,20400000,4
marginal-hits,64,20450000,4
marginal-hits,64,20500000,4
marginal-hits,64,20550000,4
marginal-hits,64,20600000,4
marginal-hits,64,20650000,3
marginal-hits,64,20700000,2
marginal-hits,64,20750000,3
marginal-hits,64,20800000,3
marginal-hits,64,20850000,2
marginal-hits,64,20900000,2
marginal-hits,64,20950000,2
marginal-hits,64,21000000,2
marginal-hits,64,21050000,3
marginal-hits,64,21100000,4
marginal-hits,64,21150000,4
marginal-hits,64,21200000,5
marginal-hits,64,21250000,4
marginal-hits,64,21300000,3
marginal-hits,64,21350000,3
marginal-hits,64,21400000,3
marginal-hits,64,21450000,2
marginal-hits,64,21500000,2
marginal-hits,64,21550000,1
marginal-hits,64,21600000,1
marginal-hits,64,21650000,1
marginal-hits,64,21700000,1
marginal-hits,64,21750000,1
marginal-hits,64,21800000,2
marginal-hits,64,21850000,2
marginal-hits,64,21900000,2
marginal-hits,64,21950000,3
marginal-hits,64,22000000,4
marginal-hits,64,22050000,3
marginal-hits,64,22100000,3
marginal-hits,64,22150000,2
marginal-hits,64,22200000,2
marginal-hits,64,22250000,1
marginal-hits,64,22300000,1
marginal-hits,64,22350000,1
marginal-hits,64,22400000,2
marginal-hits,64,22450000,1
marginal-hits,64,22500000,1
marginal-hits,64,22550000,2
marginal-hits,64,22600000,1
marginal-hits,64,22650000,2
marginal-hits,64,22700000,3
marginal-hits,64,22750000,3
marginal-hits,64,22800000,4
marginal-hits,64,22850000,4
marginal-hits,64,22900000,3
marginal-hits,64,22950000,2
marginal-hits,64,23000000,1
marginal-hits,64,23050000,1
marginal-hits,64,23100000,2
marginal-hits,64,23150000,3
marginal-hits,64,23200000,2
marginal-hits,64,23250000,3
marginal-hits,64,23300000,3
marginal-hits,64,23350000,4
marginal-hits,64,23400000,5
marginal-hits,64,23450000,5
marginal-hits,64,23500000,6
marginal-hits,64,23550000,5
marginal-hits,64,23600000,5
marginal-hits,64,23650000,5
marginal-hits,64,23700000,4
marginal-hits,64,23750000,3
marginal-hits,64,23800000,3
marginal-hits,64,23850000,2
marginal-hits,64,23900000,3
marginal-hits,64,23950000,2
marginal-hits,64,24000000,3
marginal-hits,64,24050000,3
marginal-hits,64,24100000,4
marginal-hits,64,24150000,5
marginal-hits,64,24200000,5
marginal-hits,64,24250000,4
marginal-hits,64,24300000,3
marginal-hits,64,24350000,3
marginal-hits,64,24400000,2
marginal-hits,64,24450000,2
marginal-hits,64,24500000,3
marginal-hits,64,24550000,3
marginal-hits,64,24600000,2
marginal-hits,64,24650000,1
marginal-hits,64,24700000,2
marginal-hits,64,24750000,1
marginal-hits,64,24800000,1
marginal-hits,64,24850000,1
marginal-hits,64,24900000,1
marginal-hits,64,24950000,2
marginal-hits,64,25000000,3
marginal-hits,64,25050000,4
marginal-hits,64,25100000,4
marginal-hits,64,25150000,4
marginal-hits,64,25200000,4
marginal-hits,64,25250000,4
marginal-hits,64,25300000,5
marginal-hits,64,25350000,4
marginal-hits,64,25400000,4
marginal-hits,64,25450000,4
marginal-hits,64,25500000,3
marginal-hits,64,25550000,3
marginal-hits,64,25600000,2
marginal-hits,64,25650000,1
marginal-hits,64,25700000,2
marginal-hits,64,25750000,3
marginal-hits,64,25800000,4
marginal-hits,64,25850000,5
marginal-hits,64,25900000,5
marginal-hits,64,25950000,5
marginal-hits,64,26000000,5
marginal-hits,64,26050000,4
marginal-hits,64,26100000,3
marginal-hits,64,26150000,3
marginal-hits,64,26200000,2
marginal-hits,64,26250000,1
marginal-hits,64,26300000,2
marginal-hits,64,26350000,2
marginal-hits,64,26400000,1
marginal-hits,64,26450000,2
marginal-hits,64,26500000,3
marginal-hits,64,26550000,3
marginal-hits,64,26600000,4
marginal-hits,64,26650000,5
marginal-hits,64,26700000,5
marginal-hits,64,26750000,6
marginal-hits,64,26800000,5
marginal-hits,64,26850000,4
marginal-hits,64,26900000,4
marginal-hits,64,26950000,4
marginal-hits,64,27000000,5
marginal-hits,64,27050000,4
marginal-hits,64,27100000,4
marginal-hits,64,27150000,4
marginal-hits,64,27200000,5
marginal-hits,64,27250000,5
marginal-hits,64,27300000,6
marginal-hits,64,27350000,5
marginal-hits,64,27400000,6
marginal-hits,64,27450000,7
marginal-hits,64,27500000,6
marginal-hits,64,27550000,7
marginal-hits,64,27600000,7
marginal-hits,64,27650000,8
marginal-hits,64,27700000,9
marginal-hits,64,27750000,9
marginal-hits,64,27800000,9
marginal-hits,64,27850000,9
marginal-hits,64,27900000,9
marginal-hits,64,27950000,9
marginal-hits,64,28000000,8
marginal-hits,64,28050000,8
marginal-hits,64,28100000,7
marginal-hits,64,28150000,6
marginal-hits,64,28200000,6
