1024,2048,256,512,4096,total_slab_cnt,total_miss_ratio
98,69,97,58,35,357,0.093982
98,69,97,59,35,358,0.0933204125
98,69,97,60,35,359,0.0926673
98,70,97,60,35,360,0.0920185125
98,70,97,60,36,361,0.0913702125
98,70,97,61,36,362,0.0907272875
98,71,97,61,36,363,0.090086875
98,71,97,61,37,364,0.08945185
98,72,97,61,37,365,0.0888183125
98,72,97,62,37,366,0.08818975
98,73,97,62,37,367,0.0875655125
98,73,97,62,38,368,0.0869467
98,73,97,63,38,369,0.0863292875
98,74,97,63,38,370,0.085711975
98,75,97,63,38,371,0.0851042875
98,75,97,64,38,372,0.084497625
98,75,97,64,39,373,0.083898675
98,76,97,64,39,374,0.0833005125
98,76,97,65,39,375,0.0827054125
98,77,97,65,39,376,0.0821139625
98,77,97,65,40,377,0.0815284875
98,77,97,66,40,378,0.0809434875
98,78,97,66,40,379,0.080359675
98,78,97,67,40,380,0.0797830625
98,79,97,67,40,381,0.079206875
98,79,97,67,41,382,0.0786352125
98,79,97,68,41,383,0.0780676875
98,80,97,68,41,384,0.0775003625
98,80,97,68,42,385,0.0769429375
98,80,97,69,42,386,0.0763916375
98,81,97,69,42,387,0.0758418875
98,82,97,69,42,388,0.075291
98,82,97,69,43,389,0.0747491
98,82,97,70,43,390,0.0742086625
98,83,97,70,43,391,0.073671225
98,83,97,70,44,392,0.073138325
98,84,97,70,44,393,0.0726078625
98,84,97,71,44,394,0.0720847375
98,84,97,71,45,395,0.07156345
98,85,97,71,45,396,0.0710428875
98,85,97,72,45,397,0.0705263875
98,86,97,72,45,398,0.0700140125
98,86,97,72,46,399,0.0695038875
98,86,97,73,46,400,0.0689972125
98,86,97,73,47,401,0.0684945125
98,87,97,73,47,402,0.067997125
98,87,97,74,47,403,0.0675018625
98,88,97,74,47,404,0.067008875
98,88,97,74,48,405,0.0665184375
98,88,97,75,48,406,0.0660321875
98,89,97,75,48,407,0.0655476
98,89,97,75,49,408,0.0650650125
98,89,97,76,49,409,0.064591025
98,90,97,76,49,410,0.0641171875
98,90,97,76,50,411,0.063644075
98,90,97,77,50,412,0.063181575
98,90,97,77,51,413,0.0627219875
98,91,97,77,51,414,0.0622634125
98,91,97,77,52,415,0.061811125
98,91,97,77,53,416,0.0613599
98,91,97,78,53,417,0.0609090375
98,92,97,78,53,418,0.060458225
98,92,97,79,53,419,0.060016075
98,92,97,79,54,420,0.059577225
98,93,97,79,54,421,0.0591406125
98,93,97,79,55,422,0.0587122
98,93,97,80,55,423,0.0582838875
98,94,97,80,55,424,0.057857725
98,94,97,80,56,425,0.05743955
98,94,97,80,57,426,0.0570233125
98,94,97,81,57,427,0.0566101
98,94,97,81,58,428,0.0562011
98,95,97,81,58,429,0.0557955375
98,95,97,82,58,430,0.0553936
98,95,97,82,59,431,0.054996025
98,95,97,82,60,432,0.0546019625
98,95,97,83,60,433,0.0542084375
98,96,97,83,60,434,0.0538217125
98,96,97,83,61,435,0.0534375625
98,96,97,84,61,436,0.053058175
98,96,97,84,62,437,0.0526806875
98,96,97,84,63,438,0.052307975
98,96,97,84,64,439,0.05194135
98,96,97,85,64,440,0.0515771
98,96,98,85,64,441,0.051213975
98,96,98,85,65,442,0.0508544375
98,96,98,85,66,443,0.0504967875
98,97,98,85,66,444,0.050141075
98,97,98,86,66,445,0.049786225
98,97,98,86,67,446,0.0494363125
98,97,98,86,68,447,0.049096325
98,97,98,86,69,448,0.0487563375
98,97,98,87,69,449,0.048419325
98,97,98,87,70,450,0.04808595
98,97,98,87,71,451,0.047763425
98,97,98,88,71,452,0.0474429
98,97,98,88,72,453,0.04712305
98,97,98,88,73,454,0.0468077125
98,97,98,88,74,455,0.0464937125
98,97,98,88,75,456,0.0461870125
98,97,98,89,75,457,0.04588175
98,97,98,89,76,458,0.0455829
98,97,98,89,77,459,0.045289
98,97,98,89,78,460,0.044997425
98,97,98,90,78,461,0.044711325
98,97,98,90,79,462,0.0444272125
98,97,98,90,80,463,0.0441448375
98,97,98,90,81,464,0.0438657625
98,97,98,90,82,465,0.0435948625
98,97,98,91,82,466,0.0433241375
98,97,98,91,83,467,0.0430592625
98,97,98,91,84,468,0.0427988
98,97,98,91,85,469,0.0425444125
98,97,98,91,86,470,0.0422917625
98,97,98,91,87,471,0.0420452875
98,97,98,92,87,472,0.0417993
98,97,98,92,88,473,0.0415618625
98,97,98,92,89,474,0.041327575
98,97,98,92,90,475,0.0410959375
98,97,98,93,90,476,0.04087315
98,97,98,93,91,477,0.0406538
98,97,98,93,92,478,0.0404361
98,97,98,93,93,479,0.0402262375
98,97,98,93,94,480,0.040026825
98,97,98,94,94,481,0.039829325
98,98,98,94,94,482,0.0396361
98,98,98,94,95,483,0.0394433625
98,98,98,94,96,484,0.0392615
98,98,98,94,97,485,0.0390938125
98,98,98,95,97,486,0.038927325
98,98,98,96,97,487,0.0388073375
98,98,98,96,98,488,0.0387171375
98,98,98,97,98,489,0.0386708625
98,98,98,97,98,490,0.0386708625
98,98,98,97,98,491,0.0386708625
98,98,98,97,98,492,0.0386708625
98,98,98,97,98,493,0.0386708625
98,98,98,97,98,494,0.0386708625
98,98,98,97,98,495,0.0386708625
