rebalance_strategy,slab_count,request_id,rebalance_interval,prev_distance_to_optimal_allocation,distance_to_optimal_allocation,improvement
marginal-hits-interval-1k,256,3154000,1000,77,78,False
marginal-hits-interval-1k,256,3156000,1000,78,77,True
marginal-hits-interval-1k,256,3157000,1000,77,78,False
marginal-hits-interval-1k,256,3158000,1000,78,78,False
marginal-hits-interval-1k,256,3159000,1000,78,77,True
marginal-hits-interval-1k,256,3160000,1000,77,77,False
marginal-hits-interval-1k,256,3163000,1000,77,77,False
marginal-hits-interval-1k,256,3164000,1000,77,77,False
marginal-hits-interval-1k,256,3165000,1000,77,77,False
marginal-hits-interval-1k,256,3166000,1000,77,77,False
marginal-hits-interval-1k,256,3167000,1000,77,77,False
marginal-hits-interval-1k,256,3169000,1000,77,77,False
marginal-hits-interval-1k,256,3171000,1000,77,77,False
marginal-hits-interval-1k,256,3173000,1000,77,77,False
marginal-hits-interval-1k,256,3175000,1000,77,78,False
marginal-hits-interval-1k,256,3177000,1000,78,78,False
marginal-hits-interval-1k,256,3179000,1000,78,78,False
marginal-hits-interval-1k,256,3180000,1000,78,77,True
marginal-hits-interval-1k,256,3181000,1000,77,77,False
marginal-hits-interval-1k,256,3182000,1000,77,77,False
marginal-hits-interval-1k,256,3183000,1000,77,76,True
marginal-hits-interval-1k,256,3184000,1000,76,77,False
marginal-hits-interval-1k,256,3185000,1000,77,78,False
marginal-hits-interval-1k,256,3186000,1000,78,77,True
marginal-hits-interval-1k,256,3187000,1000,77,78,False
marginal-hits-interval-1k,256,3188000,1000,78,77,True
marginal-hits-interval-1k,256,3189000,1000,77,77,False
marginal-hits-interval-1k,256,3193000,1000,77,78,False
marginal-hits-interval-1k,256,3196000,1000,78,77,True
marginal-hits-interval-1k,256,3197000,1000,77,77,False
marginal-hits-interval-1k,256,3198000,1000,77,77,False
marginal-hits-interval-1k,256,3200000,1000,77,78,False
marginal-hits-interval-1k,256,3202000,1000,78,77,True
marginal-hits-interval-1k,256,3203000,1000,77,78,False
marginal-hits-interval-1k,256,3204000,1000,78,77,True
marginal-hits-interval-1k,256,3206000,1000,77,77,False
marginal-hits-interval-1k,256,3207000,1000,77,78,False
marginal-hits-interval-1k,256,3208000,1000,78,78,False
marginal-hits-interval-1k,256,3209000,1000,78,77,True
marginal-hits-interval-1k,256,3210000,1000,77,78,False
marginal-hits-interval-1k,256,3213000,1000,78,77,True
marginal-hits-interval-1k,256,3217000,1000,77,78,False
marginal-hits-interval-1k,256,3218000,1000,78,78,False
marginal-hits-interval-1k,256,3219000,1000,78,79,False
marginal-hits-interval-1k,256,3220000,1000,79,79,False
marginal-hits-interval-1k,256,3221000,1000,79,78,True
marginal-hits-interval-1k,256,3222000,1000,78,79,False
marginal-hits-interval-1k,256,3223000,1000,79,78,True
marginal-hits-interval-1k,256,3224000,1000,78,78,False
marginal-hits-interval-1k,256,3225000,1000,78,79,False
marginal-hits-interval-1k,256,3227000,1000,79,78,True
marginal-hits-interval-1k,256,3228000,1000,78,78,False
marginal-hits-interval-1k,256,3230000,1000,78,78,False
marginal-hits-interval-1k,256,3231000,1000,78,78,False
marginal-hits-interval-1k,256,3232000,1000,78,78,False
marginal-hits-interval-1k,256,3233000,1000,78,78,False
marginal-hits-interval-1k,256,3234000,1000,78,79,False
marginal-hits-interval-1k,256,3235000,1000,79,78,True
marginal-hits-interval-1k,256,3236000,1000,78,78,False
marginal-hits-interval-1k,256,3237000,1000,78,79,False
marginal-hits-interval-1k,256,3238000,1000,79,79,False
marginal-hits-interval-1k,256,3239000,1000,79,79,False
marginal-hits-interval-1k,256,3240000,1000,79,78,True
marginal-hits-interval-1k,256,3242000,1000,78,79,False
marginal-hits-interval-1k,256,3245000,1000,79,78,True
marginal-hits-interval-1k,256,3246000,1000,78,77,True
marginal-hits-interval-1k,256,3247000,1000,77,77,False
marginal-hits-interval-1k,256,3248000,1000,77,78,False
marginal-hits-interval-1k,256,3249000,1000,78,79,False
marginal-hits-interval-1k,256,3250000,1000,79,78,True
marginal-hits-interval-1k,256,3252000,1000,78,79,False
marginal-hits-interval-1k,256,3253000,1000,79,78,True
marginal-hits-interval-1k,256,3254000,1000,78,78,False
marginal-hits-interval-1k,256,3255000,1000,78,79,False
marginal-hits-interval-1k,256,3257000,1000,79,78,True
marginal-hits-interval-1k,256,3260000,1000,78,79,False
marginal-hits-interval-1k,256,3261000,1000,79,78,True
marginal-hits-interval-1k,256,3262000,1000,78,78,False
marginal-hits-interval-1k,256,3264000,1000,78,78,False
marginal-hits-interval-1k,256,3265000,1000,78,79,False
marginal-hits-interval-1k,256,3266000,1000,79,78,True
marginal-hits-interval-1k,256,3267000,1000,78,79,False
marginal-hits-interval-1k,256,3269000,1000,79,78,True
marginal-hits-interval-1k,256,3270000,1000,78,79,False
marginal-hits-interval-1k,256,3271000,1000,79,78,True
marginal-hits-interval-1k,256,3274000,1000,78,79,False
marginal-hits-interval-1k,256,3276000,1000,79,78,True
marginal-hits-interval-1k,256,3281000,1000,78,77,True
marginal-hits-interval-1k,256,3282000,1000,77,78,False
marginal-hits-interval-1k,256,3283000,1000,78,77,True
marginal-hits-interval-1k,256,3284000,1000,77,77,False
marginal-hits-interval-1k,256,3285000,1000,77,77,False
marginal-hits-interval-1k,256,3286000,1000,77,77,False
marginal-hits-interval-1k,256,3287000,1000,77,78,False
marginal-hits-interval-1k,256,3291000,1000,78,77,True
marginal-hits-interval-1k,256,3296000,1000,77,78,False
marginal-hits-interval-1k,256,3298000,1000,78,78,False
marginal-hits-interval-1k,256,3299000,1000,78,77,True
marginal-hits-interval-1k,256,3300000,1000,77,77,False
marginal-hits-interval-1k,256,3301000,1000,77,78,False
marginal-hits-interval-1k,256,3302000,1000,78,77,True
marginal-hits-interval-1k,256,3303000,1000,77,78,False
marginal-hits-interval-1k,256,3304000,1000,78,78,False
marginal-hits-interval-1k,256,3305000,1000,78,78,False
marginal-hits-interval-1k,256,3307000,1000,78,77,True
marginal-hits-interval-1k,256,3308000,1000,77,78,False
marginal-hits-interval-1k,256,3309000,1000,78,77,True
marginal-hits-interval-1k,256,3310000,1000,77,78,False
marginal-hits-interval-1k,256,3311000,1000,78,77,True
marginal-hits-interval-1k,256,3314000,1000,77,77,False
marginal-hits-interval-1k,256,3315000,1000,77,78,False
marginal-hits-interval-1k,256,3316000,1000,78,78,False
marginal-hits-interval-1k,256,3317000,1000,78,78,False
marginal-hits-interval-1k,256,3318000,1000,78,79,False
marginal-hits-interval-1k,256,3319000,1000,79,79,False
marginal-hits-interval-1k,256,3320000,1000,79,78,True
marginal-hits-interval-1k,256,3321000,1000,78,79,False
marginal-hits-interval-1k,256,3322000,1000,79,79,False
marginal-hits-interval-1k,256,3323000,1000,79,78,True
marginal-hits-interval-1k,256,3324000,1000,78,78,False
marginal-hits-interval-1k,256,3325000,1000,78,78,False
marginal-hits-interval-1k,256,3327000,1000,78,79,False
marginal-hits-interval-1k,256,3329000,1000,79,78,True
marginal-hits-interval-1k,256,3332000,1000,78,79,False
marginal-hits-interval-1k,256,3333000,1000,79,78,True
marginal-hits-interval-1k,256,3336000,1000,78,79,False
marginal-hits-interval-1k,256,3337000,1000,79,78,True
marginal-hits-interval-1k,256,3338000,1000,78,79,False
marginal-hits-interval-1k,256,3339000,1000,79,78,True
marginal-hits-interval-1k,256,3342000,1000,78,79,False
marginal-hits-interval-1k,256,3344000,1000,79,78,True
marginal-hits-interval-1k,256,3345000,1000,78,78,False
marginal-hits-interval-1k,256,3346000,1000,78,79,False
marginal-hits-interval-1k,256,3347000,1000,79,78,True
marginal-hits-interval-1k,256,3348000,1000,78,78,False
marginal-hits-interval-1k,256,3349000,1000,78,79,False
marginal-hits-interval-1k,256,3350000,1000,79,78,True
marginal-hits-interval-1k,256,3353000,1000,78,79,False
marginal-hits-interval-1k,256,3355000,1000,79,79,False
marginal-hits-interval-1k,256,3356000,1000,79,78,True
marginal-hits-interval-1k,256,3357000,1000,78,78,False
marginal-hits-interval-1k,256,3358000,1000,78,78,False
marginal-hits-interval-1k,256,3361000,1000,78,77,True
marginal-hits-interval-1k,256,3362000,1000,77,76,True
marginal-hits-interval-1k,256,3363000,1000,76,76,False
marginal-hits-interval-1k,256,3365000,1000,76,77,False
marginal-hits-interval-1k,256,3366000,1000,77,76,True
marginal-hits-interval-1k,256,3369000,1000,76,77,False
marginal-hits-interval-1k,256,3372000,1000,77,76,True
marginal-hits-interval-1k,256,3373000,1000,76,77,False
marginal-hits-interval-1k,256,3374000,1000,77,76,True
marginal-hits-interval-1k,256,3376000,1000,76,77,False
marginal-hits-interval-1k,256,3378000,1000,77,76,True
marginal-hits-interval-1k,256,3379000,1000,76,76,False
marginal-hits-interval-1k,256,3380000,1000,76,77,False
marginal-hits-interval-1k,256,3381000,1000,77,77,False
marginal-hits-interval-1k,256,3382000,1000,77,77,False
marginal-hits-interval-1k,256,3383000,1000,77,76,True
marginal-hits-interval-1k,256,3384000,1000,76,77,False
marginal-hits-interval-1k,256,3385000,1000,77,76,True
marginal-hits-interval-1k,256,3386000,1000,76,77,False
marginal-hits-interval-1k,256,3388000,1000,77,76,True
marginal-hits-interval-1k,256,3390000,1000,76,77,False
marginal-hits-interval-1k,256,3391000,1000,77,76,True
marginal-hits-interval-1k,256,3392000,1000,76,77,False
marginal-hits-interval-1k,256,3393000,1000,77,78,False
marginal-hits-interval-1k,256,3394000,1000,78,77,True
marginal-hits-interval-1k,256,3395000,1000,77,78,False
marginal-hits-interval-1k,256,3397000,1000,78,77,True
marginal-hits-interval-1k,256,3399000,1000,77,77,False
marginal-hits-interval-1k,256,3400000,1000,77,77,False
marginal-hits-interval-1k,256,3401000,1000,77,78,False
marginal-hits-interval-1k,256,3402000,1000,78,78,False
marginal-hits-interval-1k,256,3403000,1000,78,77,True
marginal-hits-interval-1k,256,3407000,1000,77,77,False
marginal-hits-interval-1k,256,3408000,1000,77,77,False
marginal-hits-interval-1k,256,3411000,1000,77,77,False
marginal-hits-interval-1k,256,3412000,1000,77,78,False
marginal-hits-interval-1k,256,3413000,1000,78,78,False
marginal-hits-interval-1k,256,3414000,1000,78,78,False
marginal-hits-interval-1k,256,3415000,1000,78,77,True
marginal-hits-interval-1k,256,3416000,1000,77,78,False
marginal-hits-interval-1k,256,3417000,1000,78,77,True
marginal-hits-interval-1k,256,3419000,1000,77,77,False
marginal-hits-interval-1k,256,3422000,1000,77,78,False
marginal-hits-interval-1k,256,3423000,1000,78,78,False
marginal-hits-interval-1k,256,3424000,1000,78,77,True
marginal-hits-interval-1k,256,3427000,1000,77,77,False
marginal-hits-interval-1k,256,3428000,1000,77,78,False
marginal-hits-interval-1k,256,3429000,1000,78,77,True
marginal-hits-interval-1k,256,3431000,1000,77,77,False
marginal-hits-interval-1k,256,3436000,1000,77,77,False
marginal-hits-interval-1k,256,3437000,1000,77,78,False
marginal-hits-interval-1k,256,3438000,1000,78,78,False
marginal-hits-interval-1k,256,3439000,1000,78,78,False
marginal-hits-interval-1k,256,3440000,1000,78,77,True
marginal-hits-interval-1k,256,3442000,1000,77,78,False
marginal-hits-interval-1k,256,3443000,1000,78,77,True
marginal-hits-interval-1k,256,3444000,1000,77,78,False
marginal-hits-interval-1k,256,3445000,1000,78,77,True
marginal-hits-interval-1k,256,3446000,1000,77,78,False
marginal-hits-interval-1k,256,3447000,1000,78,77,True
marginal-hits-interval-1k,256,3448000,1000,77,78,False
marginal-hits-interval-1k,256,3450000,1000,78,77,True
marginal-hits-interval-1k,256,3451000,1000,77,77,False
marginal-hits-interval-1k,256,3452000,1000,77,78,False
marginal-hits-interval-1k,256,3453000,1000,78,78,False
marginal-hits-interval-1k,256,3455000,1000,78,78,False
marginal-hits-interval-1k,256,3456000,1000,78,77,True
marginal-hits-interval-1k,256,3457000,1000,77,77,False
marginal-hits-interval-1k,256,3458000,1000,77,77,False
marginal-hits-interval-1k,256,3460000,1000,77,77,False
marginal-hits-interval-1k,256,3462000,1000,77,78,False
marginal-hits-interval-1k,256,3464000,1000,78,77,True
marginal-hits-interval-1k,256,3465000,1000,77,78,False
marginal-hits-interval-1k,256,3467000,1000,78,77,True
marginal-hits-interval-1k,256,3468000,1000,77,78,False
marginal-hits-interval-1k,256,3470000,1000,78,77,True
marginal-hits-interval-1k,256,3473000,1000,77,78,False
marginal-hits-interval-1k,256,3474000,1000,78,78,False
marginal-hits-interval-1k,256,3475000,1000,78,78,False
marginal-hits-interval-1k,256,3476000,1000,78,79,False
marginal-hits-interval-1k,256,3477000,1000,79,79,False
marginal-hits-interval-1k,256,3478000,1000,79,78,True
marginal-hits-interval-1k,256,3479000,1000,78,79,False
marginal-hits-interval-1k,256,3480000,1000,79,78,True
marginal-hits-interval-1k,256,3481000,1000,78,79,False
marginal-hits-interval-1k,256,3482000,1000,79,79,False
marginal-hits-interval-1k,256,3484000,1000,79,78,True
marginal-hits-interval-1k,256,3485000,1000,78,79,False
marginal-hits-interval-1k,256,3486000,1000,79,79,False
marginal-hits-interval-1k,256,3487000,1000,79,78,True
marginal-hits-interval-1k,256,3488000,1000,78,79,False
marginal-hits-interval-1k,256,3489000,1000,79,79,False
marginal-hits-interval-1k,256,3490000,1000,79,79,False
marginal-hits-interval-1k,256,3491000,1000,79,78,True
marginal-hits-interval-1k,256,3492000,1000,78,79,False
