rebalance_strategy,slab_cnt,rebalance_interval,miss_ratio,rebalanced_slabs
marginal-hits,128,810000,0.4218553625,96
hits,128,310000,0.487392325,43
hits,256,20000,0.3538500875,68
tail-age,256,550000,0.2734423125,0
hits,256,210000,0.3446210875,64
hits,256,960000,0.317621025,65
tail-age,256,1000000,0.2734423125,0
free-mem,256,120000,0.2734423125,0
tail-age,128,220000,0.4520975,0
marginal-hits,256,560000,0.2053390375,136
hits,256,540000,0.3329478375,64
hits,128,490000,0.4848451,43
free-mem,256,910000,0.2734423125,0
hits,256,260000,0.3450280125,65
marginal-hits,128,980000,0.4227022625,80
hits,128,630000,0.48274275,43
marginal-hits,256,290000,0.1943928375,265
hits,128,850000,0.4794331,43
free-mem,128,100000,0.4520975,0
hits,256,350000,0.3402985875,64
free-mem,128,910000,0.4520975,0
marginal-hits,256,50000,0.192808775,1542
marginal-hits,256,90000,0.190509575,856
tail-age,128,40000,0.4520975,0
marginal-hits,128,780000,0.4216023,100
free-mem,128,410000,0.4520975,0
hits,128,150000,0.489598725,43
free-mem,128,250000,0.4520975,0
marginal-hits,256,410000,0.198830575,188
tail-age,128,840000,0.4520975,0
marginal-hits,256,440000,0.2002359,174
marginal-hits,256,960000,0.2207275,80
marginal-hits,128,360000,0.4188082875,219
hits,256,680000,0.3282060375,65
marginal-hits,256,100000,0.1901775625,770
hits,128,610000,0.483041275,43
marginal-hits,256,810000,0.2150422875,94
free-mem,256,10000,0.2734423125,0
tail-age,128,550000,0.4520975,0
marginal-hits,128,620000,0.4203757625,127
marginal-hits,128,990000,0.4227414625,79
hits,128,990000,0.4778197375,43
free-mem,256,770000,0.2734423125,0
marginal-hits,128,380000,0.4188652125,207
marginal-hits,128,610000,0.4203857,129
free-mem,128,240000,0.4520975,0
hits,256,230000,0.3441423,64
hits,128,910000,0.47899415,43
tail-age,128,540000,0.4520975,0
free-mem,128,560000,0.4520975,0
free-mem,256,390000,0.2734423125,0
hits,256,360000,0.34016655,64
tail-age,128,750000,0.4520975,0
free-mem,256,730000,0.2734423125,0
free-mem,256,310000,0.2734423125,0
tail-age,128,590000,0.4520975,0
tail-age,256,170000,0.2734423125,0
free-mem,128,120000,0.4520975,0
hits,256,60000,0.3512486625,67
