rebalance_strategy,slab_count,request_id,value,key,class_id
free-mem,32,800000,830,marginal_hits,1
free-mem,32,800000,206,marginal_hits,0
free-mem,32,800000,1278,tail_age,4
free-mem,32,800000,1220,tail_age,3
free-mem,32,800000,1128,tail_age,2
free-mem,32,800000,1389,tail_age,1
free-mem,32,800000,1254,tail_age,0
free-mem,32,900000,11,num_slabs,4
free-mem,32,900000,9,num_slabs,3
free-mem,32,900000,7,num_slabs,2
free-mem,32,900000,3,num_slabs,1
free-mem,32,900000,2,num_slabs,0
free-mem,32,900000,0,free_slabs,4
free-mem,32,900000,0,free_slabs,3
free-mem,32,900000,0,free_slabs,2
free-mem,32,900000,0,free_slabs,1
free-mem,32,900000,0,free_slabs,0
free-mem,32,900000,1365,hits_per_slab,4
free-mem,32,900000,1174,hits_per_slab,3
free-mem,32,900000,235,hits_per_slab,2
free-mem,32,900000,2765,hits_per_slab,1
free-mem,32,900000,227,hits_per_slab,0
free-mem,32,900000,176,marginal_hits,4
free-mem,32,900000,322,marginal_hits,3
free-mem,32,900000,254,marginal_hits,2
free-mem,32,900000,819,marginal_hits,1
free-mem,32,900000,239,marginal_hits,0
free-mem,32,900000,1288,tail_age,4
free-mem,32,900000,1210,tail_age,3
free-mem,32,900000,1130,tail_age,2
free-mem,32,900000,1395,tail_age,1
free-mem,32,900000,1253,tail_age,0
free-mem,32,1000000,11,num_slabs,4
free-mem,32,1000000,9,num_slabs,3
free-mem,32,1000000,7,num_slabs,2
free-mem,32,1000000,3,num_slabs,1
free-mem,32,1000000,2,num_slabs,0
free-mem,32,1000000,0,free_slabs,4
free-mem,32,1000000,0,free_slabs,3
free-mem,32,1000000,0,free_slabs,2
free-mem,32,1000000,0,free_slabs,1
free-mem,32,1000000,0,free_slabs,0
free-mem,32,1000000,1366,hits_per_slab,4
free-mem,32,1000000,1172,hits_per_slab,3
free-mem,32,1000000,226,hits_per_slab,2
free-mem,32,1000000,2764,hits_per_slab,1
free-mem,32,1000000,240,hits_per_slab,0
free-mem,32,1000000,201,marginal_hits,4
free-mem,32,1000000,346,marginal_hits,3
free-mem,32,1000000,224,marginal_hits,2
free-mem,32,1000000,850,marginal_hits,1
free-mem,32,1000000,246,marginal_hits,0
free-mem,32,1000000,1301,tail_age,4
free-mem,32,1000000,1207,tail_age,3
free-mem,32,1000000,1130,tail_age,2
free-mem,32,1000000,1395,tail_age,1
free-mem,32,1000000,1254,tail_age,0
free-mem,32,1100000,11,num_slabs,4
free-mem,32,1100000,9,num_slabs,3
free-mem,32,1100000,7,num_slabs,2
free-mem,32,1100000,3,num_slabs,1
free-mem,32,1100000,2,num_slabs,0
free-mem,32,1100000,0,free_slabs,4
free-mem,32,1100000,0,free_slabs,3
free-mem,32,1100000,0,free_slabs,2
free-mem,32,1100000,0,free_slabs,1
free-mem,32,1100000,0,free_slabs,0
free-mem,32,1100000,1357,hits_per_slab,4
free-mem,32,1100000,1186,hits_per_slab,3
free-mem,32,1100000,226,hits_per_slab,2
free-mem,32,1100000,2734,hits_per_slab,1
free-mem,32,1100000,229,hits_per_slab,0
free-mem,32,1100000,215,marginal_hits,4
free-mem,32,1100000,327,marginal_hits,3
free-mem,32,1100000,229,marginal_hits,2
free-mem,32,1100000,794,marginal_hits,1
free-mem,32,1100000,242,marginal_hits,0
free-mem,32,1100000,1277,tail_age,4
free-mem,32,1100000,1221,tail_age,3
free-mem,32,1100000,1130,tail_age,2
free-mem,32,1100000,1388,tail_age,1
free-mem,32,1100000,1253,tail_age,0
free-mem,32,1200000,11,num_slabs,4
free-mem,32,1200000,9,num_slabs,3
free-mem,32,1200000,7,num_slabs,2
free-mem,32,1200000,3,num_slabs,1
free-mem,32,1200000,2,num_slabs,0
free-mem,32,1200000,0,free_slabs,4
free-mem,32,1200000,0,free_slabs,3
free-mem,32,1200000,0,free_slabs,2
free-mem,32,1200000,0,free_slabs,1
free-mem,32,1200000,0,free_slabs,0
free-mem,32,1200000,1366,hits_per_slab,4
free-mem,32,1200000,1172,hits_per_slab,3
free-mem,32,1200000,221,hits_per_slab,2
free-mem,32,1200000,2789,hits_per_slab,1
free-mem,32,1200000,240,hits_per_slab,0
free-mem,32,1200000,185,marginal_hits,4
free-mem,32,1200000,342,marginal_hits,3
free-mem,32,1200000,196,marginal_hits,2
free-mem,32,1200000,868,marginal_hits,1
free-mem,32,1200000,241,marginal_hits,0
free-mem,32,1200000,1288,tail_age,4
free-mem,32,1200000,1214,tail_age,3
free-mem,32,1200000,1130,tail_age,2
free-mem,32,1200000,1394,tail_age,1
free-mem,32,1200000,1254,tail_age,0
free-mem,32,1300000,11,num_slabs,4
free-mem,32,1300000,9,num_slabs,3
free-mem,32,1300000,7,num_slabs,2
free-mem,32,1300000,3,num_slabs,1
free-mem,32,1300000,2,num_slabs,0
free-mem,32,1300000,0,free_slabs,4
free-mem,32,1300000,0,free_slabs,3
free-mem,32,1300000,0,free_slabs,2
free-mem,32,1300000,0,free_slabs,1
free-mem,32,1300000,0,free_slabs,0
