directory,allocator,cacheSizeMB,allocSizes,moveOnSlabRelease,rebalanceStrategy,poolRebalanceIntervalSec,trace_name,cache_size,op_count,uuid,file_path,_rebalanceEvents,_rebalancerAvgPickTimeMs,_rebalancerPickVictimRounds,_rebalancerNumRuns,_ramEvictions,_allocAttempts,_nvmItem,_getMissRatio,_getCnt,_getMissCnt,_totalMissCnt,_acEvictionAgeStats,_poolUsageFraction,_acStats,_rebalancerAvgReleaseTimeMs,_rebalancerAvgRebalanceTimeMs,_rebalancerNumRebalancedSlabs,_numEvictions,_evicAttempts,_allocFailures,_ramItem,_missRatio
synth_zipf_085_2048_b05cad7c-b464-47d2-aacd-09d354dd073f,LRU2Q,572,[2048],False,disabled,0,synth_zipf_085_2048,572,21000000,synth_zipf_085_2048_b05cad7c-b464-47d2-aacd-09d354dd073f,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,3936140,4226956,0,79.8716380952381,21000000,4226956,4226956,"[{'evictionAge': 26167, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 142, 'getMissRatio': 20.128361904761906, 'getMissCnt': 4226956, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,3936140,3936140,0,290816,0.20128361904761904
synth_zipf_085_2048_4059da53-3a4e-49bf-9419-ee93ea5149b8,LRU2Q,1156,[2048],False,disabled,0,synth_zipf_085_2048,1156,10500000,synth_zipf_085_2048_4059da53-3a4e-49bf-9419-ee93ea5149b8,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,242699,832523,0,92.07120952380953,10500000,832523,832523,"[{'evictionAge': 122005, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 288, 'getMissRatio': 7.928790476190477, 'getMissCnt': 832523, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,242699,242699,0,589824,0.07928790476190477
synth_zipf_085_2048_2f18d7e7-8e7a-418a-92fb-0c5d325e022c,LRU2Q,432,[2048],False,disabled,0,synth_zipf_085_2048,432,10500000,synth_zipf_085_2048_2f18d7e7-8e7a-418a-92fb-0c5d325e022c,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,2500326,2719462,0,74.10036190476191,10500000,2719462,2719462,"[{'evictionAge': 16920, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 107, 'getMissRatio': 25.899638095238096, 'getMissCnt': 2719462, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,2500326,2500326,0,219136,0.258996380952381
synth_zipf_085_2048_3281bd0e-8ef1-4621-96f0-51bc2d498a7d,LRU2Q,1040,[2048],False,disabled,0,synth_zipf_085_2048,1040,10500000,synth_zipf_085_2048_3281bd0e-8ef1-4621-96f0-51bc2d498a7d,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,472677,1003109,0,90.44658095238096,10500000,1003109,1003109,"[{'evictionAge': 87711, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 259, 'getMissRatio': 9.553419047619048, 'getMissCnt': 1003109, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,472677,472677,0,530432,0.09553419047619048
synth_zipf_085_2048_fb31cc09-48d4-4508-bd4f-e59f836ae7cc,LRU2Q,784,[2048],False,disabled,0,synth_zipf_085_2048,784,21000000,synth_zipf_085_2048_fb31cc09-48d4-4508-bd4f-e59f836ae7cc,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,2484328,2883688,0,86.26815238095239,21000000,2883688,2883688,"[{'evictionAge': 45848, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 195, 'getMissRatio': 13.731847619047619, 'getMissCnt': 2883688, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,2484328,2484328,0,399360,0.13731847619047619
synth_zipf_085_2048_4dbdf2f0-8e36-41f0-8f03-63714c072e14,LRU2Q,1500,[2048],False,disabled,0,synth_zipf_085_2048,1500,10500000,synth_zipf_085_2048_4dbdf2f0-8e36-41f0-8f03-63714c072e14,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,685459,0,93.47181904761905,10500000,685459,685459,"[{'evictionAge': 302398, 'cid': 0, 'pid': 0}]","[{'usage': 0.8957219251336899, 'pid': 0}]","[{'totalSlabs': 335, 'getMissRatio': 6.528180952380953, 'getMissCnt': 685459, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,685459,0.06528180952380952
synth_zipf_100_4096_16a1d9bd-ce6a-4194-afc4-56e3d2701513,LRU2Q,1216,[4096],False,disabled,0,synth_zipf_100_4096,1216,10500000,synth_zipf_100_4096_16a1d9bd-ce6a-4194-afc4-56e3d2701513,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,695260,1005532,0,90.42350476190477,10500000,1005532,1005532,"[{'evictionAge': 60987, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 303, 'getMissRatio': 9.576495238095237, 'getMissCnt': 1005532, 'getCnt': 10500000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,695260,695260,0,310272,0.09576495238095238
synth_zipf_085_2048_dbb9d5fa-4230-4a61-9e15-fe8b43c5a2f9,LRU2Q,1596,[2048],False,disabled,0,synth_zipf_085_2048,1596,21000000,synth_zipf_085_2048_dbb9d5fa-4230-4a61-9e15-fe8b43c5a2f9,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,0,699316,0,96.66992380952381,21000000,699316,699316,"[{'evictionAge': 604566, 'cid': 0, 'pid': 0}]","[{'usage': 0.8592964824120604, 'pid': 0}]","[{'totalSlabs': 342, 'getMissRatio': 3.3300761904761904, 'getMissCnt': 699316, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,0,0,0,699316,0.0333007619047619
synth_zipf_085_2048_393801f8-dbcb-4d34-9158-2eb5feeac384,LRU2Q,812,[2048],False,disabled,0,synth_zipf_085_2048,812,21000000,synth_zipf_085_2048_393801f8-dbcb-4d34-9158-2eb5feeac384,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,2318367,2732063,0,86.99017619047619,21000000,2732063,2732063,"[{'evictionAge': 49176, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 202, 'getMissRatio': 13.009823809523809, 'getMissCnt': 2732063, 'getCnt': 21000000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,2318367,2318367,0,413696,0.1300982380952381
synth_zipf_085_2048_e104f401-88f4-43dc-9bed-39f9c79d9807,LRU2Q,576,[2048],False,disabled,0,synth_zipf_085_2048,576,10500000,synth_zipf_085_2048_e104f401-88f4-43dc-9bed-39f9c79d9807,traces/synth_zipf_085_2048.csv,"[{'events': [], 'pid': 0}]",0,0,0,1863423,2156287,0,79.46393333333333,10500000,2156287,2156287,"[{'evictionAge': 26522, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 143, 'getMissRatio': 20.536066666666667, 'getMissCnt': 2156287, 'getCnt': 10500000, 'allocSize': 2048, 'cid': 0, 'pid': 0}]",0,0,0,1863423,1863423,0,292864,0.20536066666666666
synth_zipf_100_4096_b8f4ed42-4392-40f9-aebd-a03181c63361,LRU2Q,1128,[4096],False,disabled,0,synth_zipf_100_4096,1128,21000000,synth_zipf_100_4096_b8f4ed42-4392-40f9-aebd-a03181c63361,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,1735189,2022933,0,90.36698571428572,21000000,2022933,2022933,"[{'evictionAge': 53303, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 281, 'getMissRatio': 9.633014285714285, 'getMissCnt': 2022933, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,1735189,1735189,0,287744,0.09633014285714285
synth_zipf_100_4096_9e299edc-a9fc-4c22-9a05-a99898764e7a,LRU2Q,192,[4096],False,disabled,0,synth_zipf_100_4096,192,21000000,synth_zipf_100_4096_9e299edc-a9fc-4c22-9a05-a99898764e7a,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,5419857,5467985,0,73.9619761904762,21000000,5467985,5467985,"[{'evictionAge': 4217, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 47, 'getMissRatio': 26.03802380952381, 'getMissCnt': 5467985, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,5419857,5419857,0,48128,0.2603802380952381
synth_zipf_100_4096_9eece5cc-10e9-4382-b051-6c9dd495622e,LRU2Q,1980,[4096],False,disabled,0,synth_zipf_100_4096,1980,21000000,synth_zipf_100_4096_9eece5cc-10e9-4382-b051-6c9dd495622e,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,493344,999200,0,95.24190476190476,21000000,999200,999200,"[{'evictionAge': 168653, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 494, 'getMissRatio': 4.758095238095238, 'getMissCnt': 999200, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,493344,493344,0,505856,0.047580952380952383
synth_zipf_100_4096_3062a8a6-e0f9-4730-97db-241f31cbe727,LRU2Q,2020,[4096],False,disabled,0,synth_zipf_100_4096,2020,21000000,synth_zipf_100_4096_3062a8a6-e0f9-4730-97db-241f31cbe727,traces/synth_zipf_100_4096.csv,"[{'events': [], 'pid': 0}]",0,0,0,451672,967768,0,95.39158095238095,21000000,967768,967768,"[{'evictionAge': 177952, 'cid': 0, 'pid': 0}]","[{'usage': 1, 'pid': 0}]","[{'totalSlabs': 504, 'getMissRatio': 4.608419047619048, 'getMissCnt': 967768, 'getCnt': 21000000, 'allocSize': 4096, 'cid': 0, 'pid': 0}]",0,0,0,451672,451672,0,516096,0.04608419047619047
